II/, ABP/, PLETH/, RESP/
126,85,119,55
125,81,119,53
125,76,119,52
124,69,119,50
123,62,119,48
122,55,119,46
120,49,119,44
117,45,119,42
115,41,120,41
113,39,121,39
114,37,123,37
115,36,125,34
119,36,128,32
123,36,131,30
130,38,134,29
136,44,137,27
139,56,140,25
140,79,142,24
141,111,144,22
142,146,145,20
139,175,145,19
135,193,144,17
133,196,142,16
132,190,140,14
132,179,137,13
132,166,133,13
132,155,130,12
132,145,126,12
131,137,122,11
128,128,120,11
123,118,117,11
132,107,115,11
176,95,113,11
229,81,112,12
229,69,111,12
142,62,110,13
122,63,109,14
127,70,109,14
128,79,110,15
127,86,110,16
127,89,110,17
126,89,111,18
126,88,111,19
126,86,112,20
126,85,112,21
126,82,113,21
125,79,114,22
125,73,114,23
124,65,115,23
123,58,115,24
121,51,115,24
119,46,115,24
116,42,115,24
114,39,116,24
114,37,117,23
114,36,118,23
116,35,121,23
120,35,124,22
126,36,127,22
132,39,131,22
137,46,134,21
140,62,138,21
141,88,140,21
142,122,142,20
141,157,142,20
138,183,142,20
135,195,140,19
133,196,139,20
132,187,136,20
132,175,133,20
132,163,130,20
132,152,126,21
132,142,123,21
131,133,119,22
127,125,117,23
123,115,114,24
140,103,112,24
192,91,111,25
230,77,110,27
187,67,109,28
130,62,109,29
122,65,110,30
128,73,110,32
127,81,110,33
127,87,111,35
127,89,111,36
126,88,112,37
126,87,112,39
126,85,112,40
126,83,113,40
126,81,113,41
125,76,113,42
125,70,114,43
124,63,114,43
123,55,114,44
121,49,114,45
119,45,114,45
116,41,115,45
114,38,116,46
114,36,117,46
115,35,120,46
117,34,123,46
122,35,127,47
127,36,130,47
134,40,134,47
138,49,136,47
140,67,139,48
141,95,141,48
142,129,143,49
141,162,143,49
137,185,143,50
134,194,141,51
133,192,139,52
133,183,137,53
132,171,134,54
132,159,130,55
132,149,127,56
132,139,123,57
130,131,121,58
125,121,118,59
122,111,115,61
151,100,113,62
211,87,111,64
230,74,110,65
168,65,110,67
124,62,110,68
123,67,110,70
128,75,110,71
127,83,111,73
127,87,111,74
127,89,112,75
126,89,112,77
126,87,112,78
126,86,113,79
126,84,113,80
126,81,114,81
126,76,114,81
125,69,114,82
124,61,114,82
122,54,114,82
121,48,115,83
118,44,115,82
116,40,116,82
114,38,116,82
114,36,118,81
115,35,120,81
118,35,123,80
123,35,126,79
129,37,130,79
135,42,133,77
139,54,136,76
140,75,139,75
142,107,141,73
142,143,143,72
140,174,143,71
136,192,143,69
134,196,141,68
133,191,139,67
132,179,136,66
132,167,132,65
132,155,129,65
132,145,125,64
132,136,120,64
129,128,116,63
124,119,113,63
123,108,110,63
165,96,109,63
221,82,108,62
228,69,107,62
148,61,106,63
121,61,106,63
127,68,106,63
127,77,106,64
127,83,107,64
126,87,107,65
126,87,108,65
126,86,108,66
126,85,109,66
126,83,109,67
126,81,109,67
126,78,110,67
125,72,110,67
124,65,110,67
123,58,111,67
122,51,111,67
119,45,112,66
117,41,113,65
114,38,114,64
113,35,116,64
114,34,118,62
116,33,120,61
119,34,123,59
124,35,125,58
131,37,129,56
136,44,132,55
139,57,135,53
140,81,138,51
142,113,140,50
142,148,141,48
139,176,141,46
135,191,139,44
133,194,137,43
133,188,134,41
132,177,131,39
132,165,128,38
132,154,125,37
132,144,122,35
131,135,119,34
127,126,116,34
122,116,114,33
135,105,111,33
184,93,109,33
232,80,108,33
200,69,107,33
136,63,107,33
123,65,107,34
127,72,107,35
127,81,108,36
127,87,108,37
127,89,109,39
126,89,109,41
126,88,109,43
126,86,110,45
126,85,110,47
126,83,111,50
126,79,111,51
125,73,111,53
124,65,112,55
123,58,112,57
121,51,113,58
119,46,113,59
116,42,113,61
114,39,114,62
114,37,115,63
114,36,117,64
117,35,119,64
121,35,122,65
126,36,126,65
133,40,129,66
137,48,133,66
140,64,136,66
141,91,139,66
142,125,140,66
141,158,140,65
137,182,140,65
134,193,139,65
133,192,137,64
132,183,134,64
132,171,131,64
132,159,127,63
132,147,123,63
132,138,119,63
131,129,116,62
126,121,113,62
123,111,111,62
144,99,109,62
200,86,108,62
228,73,107,62
177,63,107,62
126,59,108,62
121,63,108,62
127,71,108,62
127,80,109,62
127,85,109,62
126,87,109,61
126,86,109,61
126,85,110,61
126,84,110,61
126,82,111,60
125,80,111,59
125,75,111,59
125,68,112,58
124,61,112,56
122,53,112,55
121,47,112,54
118,43,113,53
116,39,113,51
114,37,114,50
113,35,116,48
115,34,118,47
118,34,120,45
122,35,124,44
128,37,127,42
134,41,131,41
139,51,135,39
140,70,138,38
141,100,141,37
142,136,142,37
141,168,143,36
137,189,142,36
134,197,140,36
133,193,138,36
132,183,135,36
132,170,132,37
133,158,128,37
133,147,124,38
133,139,121,39
130,130,118,41
124,121,115,42
123,111,113,44
155,99,111,46
215,86,110,48
232,73,109,51
164,64,108,53
123,62,108,56
123,67,108,59
127,77,108,61
127,85,109,64
127,89,109,66
126,89,109,69
126,88,110,72
126,87,110,74
126,85,111,77
126,83,111,79
125,80,112,81
125,75,112,83
124,68,113,84
123,60,113,85
122,53,113,86
120,47,113,87
117,43,113,87
115,39,114,87
113,37,115,87
114,35,116,87
115,35,118,87
118,35,121,86
123,35,125,85
129,38,128,84
135,44,132,83
139,57,135,81
140,81,137,80
141,113,139,78
142,148,140,77
139,176,140,75
135,193,139,74
133,196,138,72
132,189,135,71
132,178,132,69
132,166,129,68
132,155,126,67
132,145,122,66
131,136,120,65
128,127,117,64
123,118,114,64
130,107,112,63
171,95,110,63
224,82,109,63
227,71,108,63
143,64,108,63
121,65,108,63
126,71,108,64
127,79,108,64
127,85,109,65
126,87,110,66
126,87,111,66
125,86,112,67
125,85,112,67
125,84,112,68
125,82,113,69
125,78,113,69
124,72,113,70
124,65,113,70
123,57,113,70
121,51,113,70
119,45,114,71
116,41,114,70
114,38,115,70
113,36,116,70
113,35,118,69
116,34,120,68
119,34,123,67
125,35,126,66
132,37,130,65
137,45,133,64
140,60,136,63
141,85,139,62
142,119,141,61
141,153,141,60
138,181,141,59
135,195,140,57
133,196,139,56
132,189,136,55
132,177,133,54
132,165,129,52
132,154,125,51
132,145,122,51
131,137,119,50
127,129,116,49
122,120,114,49
140,109,112,49
196,97,111,49
236,83,110,49
191,71,110,50
131,64,110,51
123,66,111,52
128,73,111,53
127,83,111,55
127,90,112,58
127,93,112,61
126,94,113,65
126,94,113,69
126,93,113,74
126,91,113,79
126,88,113,85
125,83,113,91
125,77,113,97
124,69,113,103
123,61,113,109
121,53,113,115
119,48,113,121
116,45,114,128
114,43,114,135
113,41,115,142
114,41,117,148
117,41,120,155
121,41,123,161
127,42,126,167
134,47,129,173
138,57,133,180
140,78,138,186
141,109,141,193
142,146,143,200
140,179,144,207
136,200,144,215
134,207,143,222
132,203,141,228
131,192,138,235
131,179,135,241
131,167,132,247
131,156,130,251
131,147,126,255
128,139,123,255
123,130,120,255
120,120,117,255
151,109,115,255
214,96,113,255
234,83,112,255
169,74,112,255
124,72,113,255
122,77,113,255
127,85,114,255
126,92,115,255
126,96,116,255
125,97,116,255
125,97,116,255
125,96,116,255
125,95,116,255
125,93,116,255
125,89,116,255
124,84,116,255
124,76,116,255
123,68,115,255
121,60,115,255
119,54,115,255
117,49,116,255
114,46,117,255
113,44,118,255
112,43,120,255
114,42,123,255
117,41,126,255
122,41,130,255
129,43,133,255
135,48,137,255
139,60,140,255
140,81,143,255
141,113,145,255
141,149,146,255
138,179,146,255
135,197,146,255
132,201,145,255
131,195,142,255
131,184,140,255
131,171,137,255
131,159,134,255
131,148,130,255
130,139,127,255
127,130,124,255
122,121,122,255
132,110,120,255
177,98,119,255
229,85,118,255
204,73,118,255
140,66,118,255
122,67,119,255
127,73,119,255
127,82,120,255
126,89,120,255
126,92,121,255
126,92,122,255
126,91,122,255
126,90,123,255
126,89,123,255
125,86,123,255
125,81,123,252
125,75,123,249
124,67,123,245
123,59,123,241
121,52,123,236
119,47,123,231
116,43,123,224
114,41,124,217
113,39,125,210
114,37,127,202
116,37,129,194
120,37,131,187
126,37,134,179
133,40,137,172
137,47,141,165
140,62,144,158
141,88,147,151
142,122,150,144
140,157,151,138
137,183,152,131
134,195,151,125
132,195,149,118
132,187,146,113
132,175,143,108
132,163,140,103
132,152,137,98
132,142,133,94
130,133,130,90
125,124,126,86
122,114,123,82
146,103,121,78
205,89,119,75
231,76,118,72
176,65,117,69
126,61,117,67
122,65,117,65
127,74,117,63
127,82,117,61
126,87,117,60
126,89,118,58
126,89,118,57
126,88,118,56
126,86,118,55
126,84,118,54
125,81,118,52
125,77,118,51
124,70,118,50
123,62,118,48
122,55,118,46
120,49,118,44
118,44,118,42
116,41,118,40
114,38,119,38
114,36,121,36
115,35,123,34
118,35,125,33
122,35,128,31
128,37,131,28
135,41,135,26
139,52,138,24
140,73,140,22
141,103,142,21
142,138,143,19
139,169,144,18
136,189,144,16
134,195,142,15
133,191,141,14
132,180,138,13
132,167,135,12
132,155,131,11
132,145,127,11
132,136,123,10
129,127,120,10
123,118,117,11
123,108,115,11
166,96,113,11
222,83,112,12
229,70,111,13
149,61,110,14
121,60,109,15
127,65,109,16
127,74,109,17
127,82,109,19
127,86,110,20
127,87,110,22
126,87,111,23
126,85,111,25
126,84,112,26
126,82,112,27
126,79,112,29
125,73,113,30
125,66,113,31
123,58,114,32
122,51,114,33
120,45,114,33
117,41,115,34
115,38,116,35
114,36,117,35
114,34,118,36
116,33,120,36
119,33,122,36
125,35,125,37
131,37,129,37
137,44,133,37
140,58,136,37
141,82,140,37
142,115,142,37
142,150,143,37
138,177,144,37
135,193,143,38
133,195,141,38
132,188,139,38
132,177,136,39
132,164,133,39
132,153,129,40
132,143,125,40
131,135,122,40
127,126,118,41
122,116,115,42
135,105,113,42
186,93,111,43
231,79,110,44
196,68,109,44
134,62,109,45
122,63,109,46
127,71,109,47
127,79,109,47
126,85,110,48
126,87,110,49
126,88,111,50
126,87,111,50
126,85,112,51
126,84,112,52
125,81,112,52
125,77,112,53
124,71,112,53
123,63,112,53
122,55,112,53
120,49,112,53
118,43,112,53
115,39,113,53
113,37,114,53
113,35,115,52
113,33,118,52
116,33,120,51
120,33,124,51
126,34,127,50
133,37,130,49
138,45,133,47
140,62,136,46
141,89,139,45
142,124,141,44
140,158,142,43
137,183,142,42
134,194,141,41
132,193,139,40
132,184,137,38
132,172,134,37
132,160,130,36
132,149,126,35
131,139,123,34
129,130,120,33
124,121,117,33
122,111,115,32
150,99,112,31
209,87,111,31
228,74,110,30
168,63,109,29
123,60,109,29
122,64,110,29
127,73,110,29
127,81,110,29
126,87,111,30
126,89,111,30
126,88,112,30
126,87,112,31
126,85,112,32
126,84,113,33
125,81,113,33
125,76,114,34
124,69,114,35
123,61,113,36
122,54,113,37
120,48,113,38
117,43,113,39
115,39,114,40
113,37,115,41
113,35,116,42
115,34,118,43
118,34,120,44
123,35,123,45
129,37,126,46
135,43,130,46
139,54,133,47
140,75,136,48
141,107,139,48
142,141,140,49
139,171,141,50
135,189,140,50
133,194,139,51
132,189,137,52
131,178,134,52
131,166,130,53
131,154,126,54
131,144,123,55
131,135,119,55
128,126,115,56
123,117,112,57
122,106,110,58
166,94,108,59
222,80,107,60
229,68,106,61
148,60,105,62
121,59,105,63
126,66,105,63
127,75,105,64
126,82,105,64
126,85,106,65
126,86,106,65
126,85,107,66
126,84,107,66
126,83,107,66
126,81,108,66
125,77,108,66
125,71,109,65
124,64,109,64
123,57,109,63
122,50,110,62
119,44,110,61
117,40,111,59
115,37,111,57
114,35,113,56
114,33,114,54
116,33,116,53
119,33,119,51
125,34,122,50
131,37,125,49
137,44,128,48
140,58,132,47
141,83,135,46
142,117,138,45
142,152,139,45
138,179,140,44
135,194,139,44
133,196,137,44
132,188,135,44
132,177,132,44
132,164,129,44
132,153,126,44
132,143,123,45
131,135,120,46
127,126,117,47
122,117,114,48
136,106,112,49
186,93,110,50
231,79,109,51
197,67,108,53
135,61,107,55
123,63,107,57
127,71,107,59
127,81,108,61
127,87,108,63
126,89,109,65
126,89,109,67
126,88,110,69
126,86,111,71
126,85,111,74
126,82,112,76
126,78,112,78
125,72,112,79
124,64,113,81
122,56,113,82
121,49,113,83
118,44,113,84
116,40,113,85
113,37,114,86
113,35,115,85
114,34,117,85
116,33,120,85
120,33,123,84
126,35,126,83
133,38,130,82
138,47,133,81
140,63,136,80
141,91,139,79
142,125,140,78
140,158,140,76
136,182,140,75
134,192,139,73
132,190,137,71
131,181,135,70
131,169,132,69
131,157,129,67
131,146,125,66
131,136,122,65
130,127,119,64
125,119,116,63
122,109,113,62
147,97,111,61
204,85,110,60
226,71,109,60
171,61,108,59
124,56,108,58
121,60,108,58
127,68,108,57
127,77,109,56
126,82,109,55
126,85,109,54
126,85,110,54
126,84,111,53
126,83,111,52
126,82,112,51
125,79,112,50
125,74,113,49
124,67,113,48
124,59,113,47
122,52,113,46
120,46,113,45
118,41,113,44
115,38,114,43
114,35,114,43
114,34,116,42
115,33,118,41
117,33,120,41
122,33,123,40
128,35,126,40
135,41,132,40
139,52,135,40
140,73,137,40
141,103,140,41
142,139,141,41
140,169,140,42
136,189,139,43
134,196,137,43
132,191,134,44
132,181,132,45
132,169,128,47
132,157,125,48
132,146,121,50
132,137,117,52
129,129,114,54
123,119,112,56
122,109,110,58
159,97,109,60
219,84,108,62
232,71,107,64
157,63,107,67
122,62,108,70
126,68,108,73
127,77,108,76
127,84,109,80
126,88,110,83
126,89,111,86
126,88,112,88
126,86,113,91
126,85,113,93
126,83,113,95
126,79,113,97
125,73,113,98
125,66,113,99
124,59,112,100
122,51,112,101
120,46,113,102
117,41,113,102
115,38,115,102
114,36,116,101
114,34,119,100
115,33,122,99
119,33,125,98
124,34,128,96
130,36,132,94
136,42,134,92
139,55,137,91
141,78,139,89
142,111,140,87
142,146,140,85
138,174,140,84
134,190,138,82
132,193,136,80
131,186,133,79
131,175,130,77
131,162,126,75
131,151,123,74
131,141,120,73
130,131,118,72
127,123,116,71
121,113,114,70
132,103,112,69
177,90,111,69
226,77,110,68
198,64,109,68
135,56,109,67
120,57,109,67
126,64,109,66
127,73,110,66
126,80,110,66
126,83,111,65
126,84,111,64
126,83,112,64
126,82,113,63
125,81,113,62
125,78,113,61
125,75,113,60
124,68,113,58
124,61,113,57
122,53,113,55
121,47,113,52
119,42,114,50
116,38,114,47
113,35,115,44
113,33,117,41
113,32,119,38
116,32,122,35
120,33,126,32
126,34,130,30
132,37,133,27
137,45,137,25
140,61,139,23
141,88,141,20
142,122,142,18
141,157,142,16
137,183,141,14
135,195,139,13
133,196,137,11
132,188,134,11
132,177,131,10
132,165,127,10
132,155,123,10
132,145,120,11
130,137,116,13
126,128,113,15
122,119,111,17
141,108,109,20
198,95,107,23
237,82,106,26
189,71,106,30
130,66,106,35
122,69,107,40
127,76,108,47
127,84,109,54
127,90,110,61
126,93,110,68
126,93,111,76
126,93,112,84
126,91,112,93
126,90,113,103
126,87,113,114
125,83,113,125
125,76,114,136
125,68,114,148
123,60,115,160
121,53,115,172
119,48,116,182
116,44,117,193
113,42,118,202
113,41,121,211
114,39,123,220
117,39,126,229
121,39,129,237
127,41,132,245
134,46,135,250
139,57,138,255
140,77,141,255
141,108,143,255
142,144,144,255
139,176,144,255
135,196,143,255
133,203,142,255
132,199,139,255
131,188,135,255
131,175,131,255
131,163,129,255
131,153,124,255
131,143,121,255
128,135,119,255
123,127,117,255
121,116,116,255
154,104,115,255
216,91,115,255
233,78,115,255
164,69,115,255
122,67,115,255
122,73,115,255
127,82,115,255
126,90,116,255
126,94,116,255
125,96,117,255
125,95,118,255
125,94,119,255
125,93,119,255
125,91,120,255
125,87,120,255
124,82,120,255
124,74,119,255
123,66,119,255
122,58,118,255
119,51,118,255
117,47,119,255
114,44,120,255
113,42,123,255
113,41,126,255
115,39,130,255
118,39,134,255
123,39,138,255
129,41,143,255
135,46,146,255
139,59,148,255
140,81,149,255
141,114,149,255
141,150,148,255
138,180,146,255
135,197,143,255
133,200,140,255
132,194,136,255
131,182,133,255
131,169,129,255
131,157,127,255
131,147,124,255
130,137,122,255
127,129,121,255
122,119,120,255
131,109,119,255
176,97,118,255
230,83,118,255
230,71,118,255
141,64,119,255
122,65,120,255
127,71,121,255
127,80,121,255
126,87,122,255
126,91,123,255
126,91,124,255
126,90,124,255
126,89,124,255
126,87,124,255
125,85,124,255
125,80,124,255
125,74,124,255
124,66,124,255
123,58,124,255
121,51,126,250
119,46,128,245
117,42,130,240
114,39,133,235
114,37,135,228
114,36,138,222
116,35,142,214
120,35,145,207
126,36,148,199
132,39,150,191
137,47,151,183
140,62,152,174
140,88,151,167
142,121,149,160
141,155,147,154
137,181,144,147
134,194,142,141
133,194,138,135
132,186,135,129
132,174,131,123
132,162,128,118
132,151,125,113
132,141,122,108
130,132,120,104
125,123,119,100
123,113,118,96
147,102,118,93
204,89,117,89
229,76,117,86
176,65,117,83
126,61,117,80
122,64,118,78
127,73,118,75
127,81,118,73
127,86,119,71
126,89,119,69
126,89,120,67
126,87,120,65
126,86,120,63
126,84,119,61
125,81,119,60
125,76,119,58
125,69,118,56
124,62,118,55
123,54,119,53
121,48,120,51
119,43,123,49
116,40,126,47
114,37,128,45
114,35,131,43
115,34,134,41
118,33,138,38
123,34,141,36
129,36,143,34
135,40,144,32
139,51,145,30
140,71,145,28
142,101,144,26
143,137,143,24
140,168,140,23
136,187,137,21
134,194,133,20
133,189,129,20
132,179,125,19
132,167,122,18
132,155,118,18
132,144,116,17
131,135,114,17
129,126,112,17
123,117,111,17
122,107,111,18
161,95,111,18
219,81,111,19
229,68,111,19
151,59,111,20
121,57,112,21
126,63,112,21
127,72,113,22
127,80,113,23
127,84,114,24
126,85,114,25
126,85,115,25
126,83,115,26
126,82,115,26
126,80,115,26
125,76,115,26
125,71,115,26
124,63,115,26
123,56,116,25
122,49,117,24
120,43,118,23
117,39,120,22
114,36,122,20
113,33,125,19
114,32,129,18
116,31,132,17
119,31,135,15
124,33,138,13
131,35,140,12
137,41,141,10
140,53,142,8
141,76,141,7
142,108,141,5
143,143,139,4
139,172,137,3
136,189,134,1
134,193,130,0
133,187,127,0
133,177,123,0
133,165,120,0
133,153,117,0
133,143,114,0
131,134,112,0
128,125,110,0
123,116,109,0
134,105,109,0
182,93,109,0
231,79,109,0
201,67,109,0
137,61,109,1
123,62,110,3
128,69,110,4
127,78,111,7
127,85,111,9
127,88,111,12
127,89,111,16
127,87,112,19
126,86,112,23
126,84,112,28
126,82,113,32
126,77,113,37
125,71,113,41
124,64,114,45
123,57,114,49
122,50,115,53
119,45,116,56
117,40,119,60
115,37,121,63
114,35,125,65
115,34,129,68
117,33,132,70
121,34,135,73
127,35,138,74
133,39,140,76
138,47,142,77
140,64,143,78
141,91,142,78
142,125,141,79
142,158,138,79
138,183,134,79
135,194,130,78
133,193,125,78
132,184,122,78
132,172,119,77
132,160,116,77
132,149,113,76
132,140,111,76
131,131,109,75
126,122,107,75
122,113,106,74
142,101,105,74
196,89,105,74
229,75,105,73
181,65,105,73
127,61,106,73
121,65,106,73
127,73,107,73
127,81,107,73
127,86,107,73
127,87,108,73
126,87,108,73
126,85,107,74
126,84,107,74
126,83,107,74
125,80,108,74
125,75,108,74
125,68,108,73
124,61,109,73
122,53,110,72
120,47,111,71
118,42,113,70
114,38,116,69
112,35,119,68
112,34,122,67
113,32,126,65
116,32,129,64
121,32,133,62
127,33,135,60
134,37,137,58
138,47,138,56
140,66,138,54
141,95,138,52
142,131,137,50
140,163,134,48
136,184,132,47
134,191,128,45
132,187,125,43
132,177,122,42
132,165,118,40
132,154,116,38
131,143,113,37
131,135,111,35
129,126,110,34
123,117,109,33
122,107,108,32
158,95,108,31
219,82,108,30
233,69,108,29
159,59,109,28
122,57,109,27
126,63,110,26
127,73,110,25
127,81,111,24
127,85,111,23
127,87,111,22
126,87,111,22
126,85,112,21
126,85,112,20
126,83,112,20
126,80,113,19
125,75,113,18
125,68,113,18
124,60,114,18
122,53,115,18
120,47,116,18
117,43,118,18
115,41,121,18
113,39,123,18
114,37,126,19
115,37,129,20
119,37,132,21
124,38,136,23
130,40,138,24
136,46,139,26
140,59,140,28
141,83,139,30
142,116,138,33
142,152,136,35
139,181,134,39
136,199,131,43
134,203,128,46
132,197,126,50
132,185,122,54
132,173,119,59
132,161,117,65
132,151,114,70
131,143,112,78
128,134,110,85
122,125,109,94
122,115,109,103
165,103,109,113
226,89,109,123
234,78,109,133
151,71,109,142
122,71,110,151
127,77,110,161
127,86,110,171
126,92,111,182
126,95,111,193
126,96,112,204
126,96,112,214
126,95,112,224
126,93,112,233
125,91,112,243
125,87,112,249
125,81,113,255
124,73,113,255
123,65,115,255
122,57,116,255
119,51,119,255
117,47,122,255
114,45,125,255
113,43,129,255
113,43,132,255
115,42,135,255
119,42,138,255
124,43,140,255
131,46,141,255
137,53,142,255
140,68,141,255
140,94,140,255
142,128,138,255
141,163,135,255
138,190,132,255
135,203,129,255
133,204,125,255
132,196,122,255
131,184,120,255
131,171,117,255
131,160,116,255
131,151,115,255
130,142,114,255
126,134,114,255
121,125,114,255
135,114,114,255
189,102,115,255
237,89,115,255
199,77,116,255
135,71,117,255
123,73,117,255
127,81,118,255
127,88,119,255
126,94,119,255
126,96,119,255
125,97,119,255
125,96,119,255
125,94,118,255
125,93,118,255
125,90,118,255
125,85,118,255
124,78,118,255
123,70,119,255
122,61,120,255
121,54,122,255
118,49,124,255
116,46,126,255
113,43,130,255
113,42,133,255
114,41,137,255
116,41,141,255
121,41,144,255
127,41,146,255
133,44,148,255
138,51,149,255
140,66,148,255
141,92,147,255
142,126,145,255
140,160,143,255
136,185,140,255
133,197,137,255
132,196,134,249
131,187,131,244
131,175,128,238
132,162,126,233
132,151,124,228
131,141,122,223
129,132,121,218
124,123,120,213
122,113,120,208
156,101,120,204
215,88,120,199
230,75,121,195
161,66,122,191
122,63,122,188
126,68,123,184
127,77,124,180
127,85,125,176
127,89,125,172
127,91,125,167
126,90,125,163
126,89,125,158
126,87,125,154
126,85,124,150
126,82,124,146
125,77,124,142
125,70,124,138
124,62,125,133
122,55,126,129
120,49,128,123
118,45,130,118
115,41,133,113
114,39,137,108
114,37,140,104
116,37,142,99
119,36,145,94
124,37,147,89
130,39,148,83
136,45,149,78
140,57,149,72
141,78,148,67
142,109,146,62
142,143,143,57
139,172,140,52
136,190,137,48
134,194,133,44
133,189,130,41
132,178,126,37
132,166,124,34
132,155,121,31
132,144,119,28
131,135,117,26
128,126,115,24
123,117,115,22
133,106,114,20
179,94,114,19
230,80,114,18
203,68,114,17
139,61,114,17
122,62,114,16
127,69,115,16
127,78,115,16
127,85,115,16
127,88,115,16
126,88,115,16
126,87,115,17
126,86,115,17
126,84,115,17
126,81,115,17
125,77,115,18
125,71,115,18
124,64,116,18
123,57,116,18
122,51,117,18
119,45,119,18
116,41,121,17
114,38,124,17
113,36,128,16
114,35,131,15
116,34,134,14
120,34,137,14
126,35,140,12
133,38,141,11
138,45,142,10
140,60,141,9
142,85,140,8
143,117,138,7
141,151,135,6
138,177,131,5
135,189,127,4
133,190,124,3
133,183,120,2
132,171,117,1
133,159,114,0
133,149,112,0
133,139,111,0
131,131,109,0
126,122,108,0
123,112,108,0
147,101,107,0
205,88,107,0
229,75,107,0
174,64,107,0
125,60,107,0
122,63,108,0
128,72,108,0
127,81,109,0
127,87,110,0
127,89,110,0
127,89,111,0
127,89,111,0
126,87,111,0
126,86,111,0
126,83,111,1
126,79,111,2
125,72,112,4
124,64,113,5
123,56,114,7
121,49,115,8
119,45,117,10
116,41,120,12
114,39,123,15
114,37,126,17
115,37,129,19
118,37,132,21
123,37,135,23
129,39,137,25
135,44,139,27
139,54,139,30
141,75,139,32
142,105,137,34
142,140,135,36
140,171,132,38
136,191,128,39
134,197,125,41
133,192,122,43
133,182,119,45
133,169,116,47
133,158,113,49
133,148,110,51
132,139,108,52
130,130,107,54
124,121,106,56
123,111,106,58
159,99,106,59
217,85,106,60
230,73,106,62
158,66,107,63
123,66,107,64
127,73,107,65
128,81,108,66
127,87,108,67
127,90,109,68
127,90,109,69
126,89,109,70
126,87,109,70
126,86,110,70
126,84,110,70
126,81,110,70
125,76,111,70
125,69,111,69
123,61,112,69
122,54,113,68
119,49,115,67
117,44,118,66
114,41,121,64
112,39,125,63
112,37,128,61
114,36,132,60
118,36,135,58
123,37,137,56
130,39,139,54
136,44,139,52
139,56,139,50
140,78,138,49
142,109,137,47
142,142,135,46
138,171,132,44
135,187,128,43
133,191,125,41
132,185,121,39
132,175,118,38
132,163,115,36
132,151,112,35
132,141,110,34
131,133,109,33
128,124,109,32
123,114,109,30
135,103,109,29
185,91,109,28
232,78,109,27
198,66,110,26
135,60,110,26
123,61,111,25
128,68,111,24
127,77,111,23
127,85,112,22
127,88,112,21
127,89,113,20
127,88,113,19
126,87,113,18
126,85,114,17
126,83,114,16
126,79,114,15
125,73,115,14
124,66,115,13
123,58,115,12
122,52,116,11
119,47,118,10
116,43,120,9
114,41,122,8
114,39,125,8
115,39,129,8
117,38,132,7
121,39,136,7
127,40,139,8
133,43,141,8
138,51,141,9
140,67,141,10
141,94,140,11
142,128,138,13
141,162,135,15
138,186,132,17
135,197,129,19
133,196,125,21
133,187,121,24
132,175,117,26
132,163,114,29
133,152,111,33
133,143,109,36
131,134,108,40
127,125,107,44
124,115,107,47
144,104,107,51
200,91,107,54
229,78,107,58
178,68,108,62
127,65,108,67
122,70,108,71
128,79,109,75
127,87,109,80
127,91,110,84
126,92,110,88
126,91,111,92
126,89,111,96
126,88,111,99
125,86,112,102
125,83,112,104
125,78,112,106
124,71,113,108
123,64,113,110
122,57,114,111
119,50,116,112
117,45,118,112
114,42,121,113
112,39,124,112
112,38,128,112
113,37,131,111
116,37,135,110
121,38,138,108
127,39,139,106
134,43,140,103
138,52,140,101
140,70,140,98
141,98,138,96
142,132,136,93
139,163,133,91
136,184,129,88
133,192,126,85
132,189,123,82
132,180,120,79
131,168,117,77
131,156,115,74
131,145,113,72
132,135,112,69
128,127,110,67
123,117,110,65
122,107,109,62
164,95,109,60
223,82,110,57
233,69,111,55
151,61,112,52
121,60,113,50
127,66,113,48
127,75,114,46
127,83,114,45
127,88,114,43
127,89,115,41
126,89,115,39
126,89,115,38
126,87,115,36
126,85,115,35
126,81,115,33
126,76,115,32
125,69,115,31
124,61,115,29
122,55,116,28
120,50,117,27
118,47,119,26
115,44,122,26
114,42,126,25
114,41,129,25
116,41,132,25
119,41,136,25
125,42,138,25
131,45,140,26
137,51,141,27
140,65,141,28
141,88,139,30
142,120,137,32
143,155,135,34
139,183,131,37
136,199,128,39
134,202,124,43
133,196,121,46
132,185,118,50
132,173,116,55
132,162,114,61
132,153,112,68
131,144,111,76
127,135,110,84
122,126,109,93
132,115,109,102
179,103,109,111
232,90,109,120
206,78,109,128
140,72,110,137
122,74,110,148
127,81,111,158
127,90,112,170
127,96,112,182
126,99,113,192
126,100,115,203
126,99,115,213
126,97,116,223
126,95,116,233
126,93,116,242
126,89,117,249
125,82,117,255
124,74,118,255
123,66,119,255
121,59,120,255
119,53,122,255
116,50,125,255
114,48,129,255
113,47,133,255
114,46,136,255
116,46,139,255
120,46,141,255
126,47,144,255
133,50,145,255
138,58,146,255
140,74,146,255
141,102,145,255
142,137,143,255
140,172,140,255
137,197,137,255
134,207,134,255
132,205,131,255
131,196,128,255
131,183,125,255
131,170,123,255
131,159,121,255
131,150,120,255
130,142,118,255
124,133,118,255
121,124,118,255
147,113,118,255
208,101,119,255
233,88,119,255
176,78,120,255
126,75,120,255
122,79,120,255
127,88,121,255
126,95,121,255
126,99,121,255
126,101,122,255
125,100,122,255
125,99,122,255
125,97,122,255
125,95,122,255
125,92,121,255
124,87,121,255
124,79,121,255
123,71,122,255
